question,answer,source
전결 규정의 목적은 무엇인가요?,"본 규정은 회사 내 의사 결정의 신속성, 책임성을 확보하기 위하여 전결 권한을 명확히 정하고자 한다.",delegation_of_authority
전결권자가 부재 시 권한 위임은 어떻게 하나요?,"전결권자는 부재 시 서면으로 권한을 위임할 수 있으며, 위임된 권한은 위임된 범위 내에서만 행사할 수 있다. 권한 위임은 재무팀 또는 관리팀을 통해 기록되며, 위임받은 자의 이름, 직책, 기간이 명시된다.",delegation_of_authority
연차 휴가는 어떻게 신청하나요?,"연차 휴가는 본인 승인을 통해 자유롭게 사용할 수 있으며, 사내 HR 시스템에서 신청 가능합니다.",employee_benefits_and_welfare_faq
동호회 지원금은 얼마까지 받을 수 있나요?,"사전에 등록된 동호회 활동에 한해 월 최대 100,000원까지 지원됩니다.",employee_benefits_and_welfare_faq
회사에서 제공하는 건강 보험 혜택은 무엇인가요?,전 직원은 국민건강보험에 가입되며 회사가 일정 비율의 보험료를 부담합니다. 추가로 회사는 단체 실손 보험을 제공하여 입원 및 통원 치료비를 지원합니다.,employee_benefits_and_welfare_guide
"문화의 날은 언제이며, 어떤 혜택이 있나요?","매월 마지막 금요일 오후 3시 이후 자유 시간이 부여되며, 문화 활동 지원비로 월 최대 50,000원(영화, 공연, 스포츠 경기 등)이 지원됩니다.",employee_benefits_and_welfare_guide
기본 근무 시간과 점심 시간은 어떻게 되나요?,"기본 근무 시간은 월요일~금요일, 오전 9시 ~ 오후 6시입니다. 점심 시간은 오후 12시 ~ 오후 1시입니다.",employee_handbook_and_hr_policy
"성과 평가는 언제 실시되며, 평가 요소는 무엇인가요?","성과 평가는 매년 12월에 실시됩니다. 평가 요소는 업무 성과, 협업 능력, 문제 해결 능력입니다.",employee_handbook_and_hr_policy
국내 출장 시 1일 식비 기준은 얼마인가요?,"국내 출장 1일 식비는 아침 10,000원, 점심 15,000원, 저녁 20,000원으로 총 45,000원입니다.",expense_management_guide
법인카드 사용 후 정산 기한은 언제까지인가요?,법인카드 사용 후 3영업일 내에 정산해야 합니다.,expense_management_guide
비밀번호 설정 요구사항은 무엇인가요?,"비밀번호는 최소 8자 이상이어야 하며, 영문 대소문자, 숫자, 특수문자를 포함해야 합니다.",it_support_guide
소프트웨어 설치 정책은 어떻게 되나요?,"모든 소프트웨어 설치는 IT 지원팀의 승인 후 가능하며, 불법 소프트웨어 설치는 금지됩니다. 업무 관련 소프트웨어는 IT 지원팀을 통해 요청할 수 있습니다.",it_support_guide
회사가 수집하는 개인정보에는 어떤 항목들이 포함되나요?,"회사가 수집하는 개인정보에는 이름, 연락처, 이메일, 직책, 근무 기록 등이 포함됩니다.",legal_and_compliance_policy
징계 절차에서 최종 결정은 누가 내리나요?,"징계 대상자는 소명할 수 있으며, 최종 결정은 징계위원회에서 내립니다.",legal_and_compliance_policy/employee_handbook_and_hr_policy
