question,answer
직원 복리후생 및 복지 가이드의 목적은 무엇인가요?,"직원들에게 제공되는 복리후생 제도를 명확히 안내하여, 회사 생활의 만족도를 높이고, 근로 의욕을 증진하기 위함입니다."
복리후생 가이드는 어떤 직원에게 적용되나요?,"정규직, 계약직, 인턴 등 모든 직원에게 적용됩니다."
회사에서 제공하는 건강 보험 혜택은 무엇인가요?,"전 직원은 국민건강보험에 가입되며, 회사가 일정 비율의 보험료를 부담합니다. 추가로 회사는 단체 실손 보험을 제공하여, 입원 및 통원 치료비를 지원합니다."
"정기 건강 검진은 얼마나 자주 제공되며, 비용은 누가 부담하나요?","매년 1회 정기 건강 검진을 제공하며, 검진 비용은 회사가 100% 부담합니다."
근속 연수가 4~6년인 직원의 연차 휴가 일수는 몇 일인가요?,17일입니다.
근속 연수가 10년 이상인 직원은 연차 휴가를 몇 일 받나요?,20일입니다.
출산 휴가와 육아 휴가는 각각 얼마나 제공되나요?,"출산 휴가는 20일(유급)이며, 육아 휴가는 최대 1년(첫 3개월 50% 급여 지원)입니다."
본인 결혼 시 경조 휴가는 며칠인가요?,5일입니다.
배우자 사망 시 경조 휴가는 며칠인가요?,7일입니다.
자녀 출생 시 제공되는 경조 휴가 일수는?,3일입니다.
외부 교육 프로그램 등록 시 지원되는 비용은 얼마인가요?,"50% 비용 지원으로 연간 최대 200,000원입니다."
직무 관련 자격증 시험 응시료는 얼마까지 지원되나요?,"최대 100,000원까지 지원됩니다."
회사에서 지정한 온라인 교육 플랫폼은 무엇인가요?,Inflearn과 Udemy입니다.
사내 동호회 활동 비용은 얼마까지 지원되나요?,"최대 월 100,000원까지 지원됩니다."
"문화의 날은 언제이며, 어떤 혜택이 있나요?","매월 마지막 금요일 오후 3시 이후 자유 시간이 부여되며, 문화 활동 지원비로 월 최대 50,000원(영화, 공연, 스포츠 경기 등)이 지원됩니다."
본인 결혼 시 경조사 지원금은 얼마인가요?,30만원입니다.
배우자 사망 시 경조사 지원금은 얼마인가요?,50만원입니다.
자녀 출생 시 경조사 지원금은 얼마인가요?,10만원입니다.
매월 통신비는 얼마나 지원되나요?,"매월 50,000원입니다."
직원 식사비 지원은 월 최대 얼마인가요?,"월 최대 150,000원입니다."
복리후생 신청은 어떻게 하나요?,각 복리후생은 사내 HR 시스템을 통해 신청 가능합니다.
인사팀 담당자의 연락처는 무엇인가요?,"담당자는 김지현 인사팀장이며, 이메일은 kimjh@company.com, 전화번호는 02-1234-5678입니다."
유연 근무제는 어떤 형태로 제공되나요?,사전 승인된 직원은 재택 근무와 시차 출근 형태의 유연 근무제를 사용할 수 있습니다.
정기 건강 검진 항목에는 무엇이 포함되나요?,"기본 검진(혈액 검사, X-ray)과 종합 검진 옵션이 포함됩니다."
근속 연수 1년 미만 직원의 연차 휴가는 어떻게 지급되나요?,월 1일씩 지급됩니다.
조부모 사망 시 경조 휴가는 며칠인가요?,3일입니다.
본인 생일에 제공되는 경조 휴가는 며칠인가요?,1일입니다.
