question,answer,source
전결 규정의 목적은 무엇인가요?,"본 규정은 회사 내 의사 결정의 신속성, 책임성을 확보하기 위하여 전결 권한을 명확히 정하고자 한다.",delegation_of_authority
전결 규정은 누구에게 적용되나요?,"본 규정은 모든 부서 및 직원에게 적용되며, 별도 규정이 있는 경우 해당 규정을 우선으로 한다.",delegation_of_authority
50만원 이하의 예산 승인은 누가 할 수 있나요?,"50만원 이하의 예산 승인은 팀장 또는 부서장이 승인할 수 있으며, 본부장에게 보고된다.",delegation_of_authority
200만원을 초과하는 예산 승인의 최종 승인권자는 누구인가요?,200만원을 초과하는 예산 승인의 최종 승인권자는 대표이사이다.,delegation_of_authority
"인사(채용, 승진, 징계)에 대한 최종 승인 권한은 누구에게 있나요?","인사(채용, 승진, 징계)에 대한 최종 승인 권한은 대표이사에게 있다.",delegation_of_authority
연차 및 휴가 승인은 어느 직급까지 승인할 수 있나요?,"연차 및 휴가 승인은 팀장과 부서장이 승인할 수 있으며, 본부장에게 보고된다.",delegation_of_authority
500만원을 초과하는 계약 체결의 승인 절차는 어떻게 되나요?,"500만원을 초과하는 계약 체결은 팀장과 부서장이 검토하고, 본부장이 승인하며, 대표이사가 최종 승인한다.",delegation_of_authority
전결권자가 부재 시 권한 위임은 어떻게 하나요?,"전결권자는 부재 시 서면으로 권한을 위임할 수 있으며, 위임된 권한은 위임된 범위 내에서만 행사할 수 있다. 권한 위임은 재무팀 또는 관리팀을 통해 기록되며, 위임받은 자의 이름, 직책, 기간이 명시된다.",delegation_of_authority
전결 기록은 얼마 동안 보관되나요?,모든 전결 기록은 사내 시스템에서 3년간 보관된다.,delegation_of_authority
전결 요청 절차는 어떻게 되나요?,"1. 전결 요청자는 사내 전산 시스템에서 전결 요청서를 작성한다. 2. 전결 사항에 따른 승인자를 지정하여 결재를 요청한다. 3. 전결권자는 요청 내용을 확인하고 승인, 반려, 보완 요청을 선택할 수 있다. 4. 승인된 전결 사항은 시스템에 기록되며, 요청자는 결과를 확인할 수 있다.",delegation_of_authority
전결 규정 관련 문의는 어디로 하면 되나요?,"전결 규정 관련 문의는 재무팀 또는 관리팀에 문의할 수 있다. 담당자는 박성호 관리팀장이며, 이메일은 parks@company.com, 전화번호는 02-1234-5678이다.",delegation_of_authority
사내 규정 제정 및 개정의 최종 승인권자는 누구인가요?,사내 규정 제정 및 개정의 최종 승인권자는 대표이사이다.,delegation_of_authority
법적 분쟁 및 소송 대응에 대한 전결 권한은 어떻게 되나요?,"법적 분쟁 및 소송 대응은 부서장이 검토하고, 본부장이 승인하며, 대표이사가 최종 승인한다. 팀장은 해당 사항에 대한 권한이 없다.",delegation_of_authority
전결 규정은 어떤 경우에 변경될 수 있나요?,"본 전결 규정은 법령 변경, 조직 개편, 경영 환경 변화에 따라 변경될 수 있다. 변경된 규정은 사내 인트라넷을 통해 공지되며, 모든 직원에게 공지된다.",delegation_of_authority
50만원 초과 200만원 이하의 계약 체결 승인 절차는 어떻게 되나요?,"50만원 초과 500만원 이하의 계약 체결은 팀장이 검토하고, 부서장이 승인하며, 본부장이 최종 승인한다.",delegation_of_authority
전결권자의 책임과 의무는 무엇인가요?,"전결권자는 자신의 권한 내에서 결정을 내려야 하며, 권한을 초과하는 사항은 상급자에게 보고한다. 전결권자는 결정에 대한 책임을 지며, 필요한 경우 결재 내역을 기록으로 남긴다. 승인된 결재는 사내 전산 시스템을 통해 기록되고, 필요한 경우 열람할 수 있다.",delegation_of_authority
연차 휴가는 어떻게 신청하나요?,"연차 휴가는 본인 승인을 통해 자유롭게 사용할 수 있으며, 사내 HR 시스템에서 신청 가능합니다.",employee_benefits_and_welfare_faq
근속 연수에 따른 연차 일수는 어떻게 되나요?,"근속 연수에 따라 차등 지급되며, 1년 미만은 월 1일, 1~3년은 15일, 10년 이상은 20일입니다.",employee_benefits_and_welfare_faq
사용하지 않은 연차는 다음 해로 이월되나요?,"연차는 해당 연도에 사용해야 하며, 이월은 불가합니다.",employee_benefits_and_welfare_faq
출산 휴가는 며칠까지 사용할 수 있나요?,"출산 예정일 전후로 자유롭게 사용할 수 있으며, 최대 20일 유급으로 제공됩니다.",employee_benefits_and_welfare_faq
"육아 휴가는 얼마나 사용할 수 있고, 급여는 어떻게 지급되나요?","모든 직원이 신청할 수 있으며, 최대 1년까지 사용할 수 있고, 첫 3개월은 급여의 50%가 지급됩니다.",employee_benefits_and_welfare_faq
경조 휴가는 어떤 경우에 사용할 수 있나요?,"본인 결혼, 자녀 출생, 부모/배우자 사망 등 경조사 사유에 따라 휴가가 부여됩니다.",employee_benefits_and_welfare_faq
경조사 지원금은 어떻게 신청하고 지급받나요?,"HR 시스템을 통해 신청할 수 있으며, 지원금은 지정된 계좌로 지급됩니다.",employee_benefits_and_welfare_faq
외부 교육비 신청 방법은 무엇인가요?,외부 교육 프로그램 신청 후 영수증을 첨부하여 HR 시스템에 신청합니다.,employee_benefits_and_welfare_faq
회사에서 제공하는 온라인 교육 플랫폼은 무엇인가요?,"회사 지정 플랫폼 (Inflearn, Udemy)을 자유롭게 이용할 수 있습니다.",employee_benefits_and_welfare_faq
문화의 날 지원금은 얼마이고 어떻게 사용할 수 있나요?,"문화 활동(영화, 공연, 스포츠) 비용으로 사용 가능하며, 월 최대 50,000원 지원됩니다.",employee_benefits_and_welfare_faq
동호회 지원금은 얼마까지 받을 수 있나요?,"사전에 등록된 동호회 활동에 한해 월 최대 100,000원까지 지원됩니다.",employee_benefits_and_welfare_faq
통신비 지원은 얼마나 받을 수 있나요?,"매월 50,000원이 급여와 함께 지급됩니다.",employee_benefits_and_welfare_faq
생일이나 입사 기념일에는 어떤 선물을 받나요?,"생일에는 기념품, 입사 기념일에는 기념 타월이 제공됩니다.",employee_benefits_and_welfare_faq
복리후생 관련 문의는 누구에게 하면 되나요?,"HR 담당자 김지현 (이메일: kimjh@company.com, 전화번호: 02-1234-5678)에게 문의 가능합니다.",employee_benefits_and_welfare_faq
10년 이상 근속한 직원의 연차 일수는 몇 일인가요?,10년 이상 근속한 직원은 연차 20일이 부여됩니다.,employee_benefits_and_welfare_faq
육아 휴가 첫 3개월 동안 급여의 몇 퍼센트가 지급되나요?,육아 휴가 첫 3개월은 급여의 50%가 지급됩니다.,employee_benefits_and_welfare_faq
직원 복리후생 및 복지 가이드의 목적은 무엇인가요?,"직원들에게 제공되는 복리후생 제도를 명확히 안내하여, 회사 생활의 만족도를 높이고, 근로 의욕을 증진하기 위함입니다.",employee_benefits_and_welfare_guide
복리후생 가이드는 어떤 직원들에게 적용되나요?,"정규직, 계약직, 인턴 등 모든 직원에게 적용됩니다.",employee_benefits_and_welfare_guide
회사에서 제공하는 건강 보험 혜택은 무엇인가요?,전 직원은 국민건강보험에 가입되며 회사가 일정 비율의 보험료를 부담합니다. 추가로 회사는 단체 실손 보험을 제공하여 입원 및 통원 치료비를 지원합니다.,employee_benefits_and_welfare_guide
"정기 건강 검진은 얼마나 자주 제공되며, 비용은 누가 부담하나요?","매년 1회 정기 건강 검진이 제공되며, 검진 비용은 회사가 100% 부담합니다.",employee_benefits_and_welfare_guide
정기 건강 검진에 포함되는 항목은 무엇인가요?,"기본 검진(혈액 검사, X-ray)과 종합 검진 옵션이 포함됩니다.",employee_benefits_and_welfare_guide
근속 연수 4~6년인 직원의 연차 휴가 일수는 며칠인가요?,17일입니다.,employee_benefits_and_welfare_guide
근속 10년 이상인 직원의 연차 휴가는 몇 일인가요?,20일입니다.,employee_benefits_and_welfare_guide
출산 휴가와 육아 휴가는 각각 얼마나 제공되나요?,"출산 휴가는 20일(유급)이며, 육아 휴가는 최대 1년(첫 3개월 50% 급여 지원)입니다.",employee_benefits_and_welfare_guide
본인 결혼 시 경조 휴가는 며칠인가요?,5일입니다.,employee_benefits_and_welfare_guide
배우자 사망 시 경조 휴가는 며칠인가요?,7일입니다.,employee_benefits_and_welfare_guide
자녀 출생 시 경조 휴가는 며칠인가요?,3일입니다.,employee_benefits_and_welfare_guide
유연 근무제는 어떤 형태로 사용할 수 있나요?,"재택 근무와 시차 출근 형태로 사용할 수 있으며, 사전 승인이 필요합니다.",employee_benefits_and_welfare_guide
외부 교육 프로그램 등록 시 얼마의 비용이 지원되나요?,"50% 비용이 지원되며, 연간 최대 200,000원까지 지원됩니다.",employee_benefits_and_welfare_guide
직무 관련 자격증 시험 응시료는 얼마까지 지원되나요?,"최대 100,000원까지 지원됩니다.",employee_benefits_and_welfare_guide
회사에서 지정한 온라인 교육 플랫폼은 무엇인가요?,Inflearn과 Udemy입니다.,employee_benefits_and_welfare_guide
사내 동호회 활동 비용은 얼마까지 지원되나요?,"최대 월 100,000원까지 지원됩니다.",employee_benefits_and_welfare_guide
"문화의 날은 언제이며, 어떤 혜택이 있나요?","매월 마지막 금요일 오후 3시 이후 자유 시간이 부여되며, 문화 활동 지원비로 월 최대 50,000원(영화, 공연, 스포츠 경기 등)이 지원됩니다.",employee_benefits_and_welfare_guide
본인 결혼 시 경조사 지원금은 얼마인가요?,30만원입니다.,employee_benefits_and_welfare_guide
배우자 사망 시 경조사 지원금은 얼마인가요?,50만원입니다.,employee_benefits_and_welfare_guide
자녀 출생 시 경조사 지원금은 얼마인가요?,10만원입니다.,employee_benefits_and_welfare_guide
매월 통신비는 얼마가 지원되나요?,"매월 50,000원이 지원됩니다.",employee_benefits_and_welfare_guide
직원 식사 지원은 어떻게 이루어지나요?,"사내 카페테리아가 제공되거나 식사비가 월 최대 150,000원까지 지원됩니다.",employee_benefits_and_welfare_guide
복리후생 신청은 어디서 할 수 있나요?,사내 HR 시스템을 통해 신청 가능합니다.,employee_benefits_and_welfare_guide
인사팀 담당자의 연락처는 무엇인가요?,"담당자는 김지현 인사팀장이며, 이메일은 kimjh@company.com, 전화번호는 02-1234-5678입니다.",employee_benefits_and_welfare_guide
근속 1년 미만 직원의 연차 휴가는 어떻게 지급되나요?,월 1일씩 지급됩니다.,employee_benefits_and_welfare_guide
부모 사망 시 경조 휴가와 경조사 지원금은 각각 얼마인가요?,"경조 휴가는 5일이며, 경조사 지원금은 30만원입니다.",employee_benefits_and_welfare_guide
기념일 선물은 어떤 경우에 제공되나요?,생일 및 입사 기념일에 기념 선물이 제공됩니다.,employee_benefits_and_welfare_guide
경조사 화환 지원은 어떻게 신청하나요?,"결혼, 장례 시 회사 명의의 화환이 지원되며, 신청은 인사팀을 통해 진행합니다.",employee_benefits_and_welfare_guide
외부 강사 초청 교육은 얼마나 자주 진행되나요?,분기별로 진행됩니다.,employee_benefits_and_welfare_guide
직원 핸드북의 적용 범위는 어떻게 되나요?,"본 규정은 정규직, 계약직, 인턴 등 모든 직원에게 적용됩니다. 파견직의 경우 별도 계약서에 따릅니다.",employee_handbook_and_hr_policy
채용 절차는 어떻게 진행되나요?,"채용은 공정한 서류 전형, 면접, 실무 테스트를 통해 진행됩니다. 합격자는 근로 계약을 체결하고, 신입 교육을 이수합니다.",employee_handbook_and_hr_policy
수습 기간은 얼마나 되나요?,"신규 채용 직원은 3개월 수습 기간을 거칩니다. 수습 기간 중 근무 태도 및 성과를 평가하며, 평가 결과에 따라 정식 채용을 결정합니다.",employee_handbook_and_hr_policy
기본 근무 시간과 점심 시간은 어떻게 되나요?,"기본 근무 시간은 월요일~금요일, 오전 9시 ~ 오후 6시입니다. 점심 시간은 오후 12시 ~ 오후 1시입니다.",employee_handbook_and_hr_policy
유연 근무제를 사용하려면 어떻게 해야 하나요?,유연 근무제는 사전 승인이 필요합니다.,employee_handbook_and_hr_policy
지각 3회는 어떻게 처리되나요?,3회 지각 시 1회 결근으로 처리됩니다.,employee_handbook_and_hr_policy
근속 연수가 5년인 직원의 연차 휴가는 며칠인가요?,근속 연수 4~6년인 직원의 연차 휴가는 17일입니다.,employee_handbook_and_hr_policy
근속 연수 10년 이상인 직원의 연차 휴가 일수는 얼마인가요?,근속 연수 10년 이상인 직원의 연차 휴가는 20일입니다.,employee_handbook_and_hr_policy
출산 휴가는 얼마나 주어지나요?,출산 휴가는 20일이며 유급입니다.,employee_handbook_and_hr_policy
육아 휴가 기간과 급여 지원은 어떻게 되나요?,"육아 휴가는 최대 1년이며 무급입니다. 단, 첫 3개월은 월급의 50%를 지원합니다.",employee_handbook_and_hr_policy
본인 결혼 시 경조 휴가는 며칠인가요?,본인 결혼 시 경조 휴가는 5일입니다.,employee_handbook_and_hr_policy
배우자 사망 시 경조 휴가는 며칠인가요?,배우자 사망 시 경조 휴가는 7일입니다.,employee_handbook_and_hr_policy
자녀 출생 시 경조 휴가는 며칠인가요?,자녀 출생 시 경조 휴가는 3일입니다.,employee_handbook_and_hr_policy
급여는 언제 지급되나요?,"급여는 매월 25일에 지급됩니다. 지급일이 공휴일일 경우, 전 영업일에 지급됩니다.",employee_handbook_and_hr_policy
"성과 평가는 언제 실시되며, 평가 요소는 무엇인가요?","성과 평가는 매년 12월에 실시됩니다. 평가 요소는 업무 성과, 협업 능력, 문제 해결 능력입니다.",employee_handbook_and_hr_policy
통신비 지원은 얼마인가요?,"통신비 지원은 매월 50,000원입니다.",employee_handbook_and_hr_policy
외부 교육 프로그램 비용 지원은 얼마나 되나요?,외부 교육 프로그램 등록 시 50% 비용을 지원합니다.,employee_handbook_and_hr_policy
동호회 지원은 어떻게 되나요?,"사내 동호회 활동 비용의 50%를 지원하며, 최대 월 100,000원입니다.",employee_handbook_and_hr_policy
기밀 유지 의무는 퇴사 후에도 유지되나요?,"네, 퇴사 후에도 기밀 유지 의무는 유지됩니다.",employee_handbook_and_hr_policy
회사 기기를 분실했을 때 어떻게 해야 하나요?,기기 분실 시 즉시 IT 지원팀에 신고해야 합니다.,employee_handbook_and_hr_policy
성희롱 예방 교육은 얼마나 자주 실시되나요?,회사는 연 1회 성희롱 예방 교육을 실시합니다.,employee_handbook_and_hr_policy
자발적 퇴사 시 사직서는 언제까지 제출해야 하나요?,자발적 퇴사 시 최소 1개월 전에 사직서를 제출해야 합니다.,employee_handbook_and_hr_policy
퇴사 후 회사 자산은 언제까지 반납해야 하나요?,퇴사 후 1개월 내에 모든 회사 자산을 반납해야 합니다.,employee_handbook_and_hr_policy
징계 사유에는 어떤 것들이 있나요?,"징계 사유에는 회사 기밀 유출, 지각 및 결근 반복, 성희롱, 직장 내 괴롭힘이 있습니다.",employee_handbook_and_hr_policy
징계의 종류는 무엇인가요?,"징계는 경고, 감봉, 정직, 해고로 구분됩니다.",employee_handbook_and_hr_policy
근속 연수 1년 미만 직원의 연차 휴가는 어떻게 되나요?,근속 연수 1년 미만 직원의 연차 휴가는 월 1일입니다.,employee_handbook_and_hr_policy
