question,answer
직원 복리후생 가이드는 누구에게 적용되나요?,"정규직, 계약직, 인턴 등 모든 직원에게 적용됩니다."
회사에서 제공하는 건강 보험 혜택은 무엇인가요?,"전 직원은 국민건강보험에 가입되며, 회사가 일정 비율의 보험료를 부담합니다. 추가로 단체 실손 보험을 제공하여 입원 및 통원 치료비를 지원합니다."
정기 건강 검진은 얼마나 자주 받을 수 있나요?,"매년 1회 정기 건강 검진을 제공하며, 검진 비용은 회사가 100% 부담합니다."
근속 연수에 따른 연차 휴가 일수는 어떻게 되나요?,"1년 미만은 월 1일, 1~3년은 15일, 4~6년은 17일, 7~9년은 19일, 10년 이상은 20일의 연차 휴가가 지급됩니다."
출산 휴가와 육아 휴가는 각각 얼마나 되나요?,"출산 휴가는 20일(유급)이며, 육아 휴가는 최대 1년으로 첫 3개월간 50% 급여가 지원됩니다."
본인 결혼 시 경조 휴가는 며칠인가요?,본인 결혼 시 5일의 경조 휴가가 부여됩니다.
부모 사망 시 경조 휴가와 경조사 지원금은 얼마인가요?,부모 사망 시 경조 휴가 5일과 경조사 지원금 30만원이 지원됩니다.
유연 근무제는 어떻게 이용할 수 있나요?,"사전 승인된 직원은 유연 근무제(재택 근무, 시차 출근)를 사용할 수 있으며, 유연 근무 신청은 본인 승인으로 적용됩니다."
외부 교육비 지원 한도는 얼마인가요?,"외부 교육 프로그램 등록 시 50% 비용을 지원하며, 연간 최대 200,000원까지 지원됩니다."
직무 관련 자격증 시험 응시료는 얼마까지 지원되나요?,"직무 관련 자격증 시험 응시료는 최대 100,000원까지 지원됩니다."
회사에서 제공하는 온라인 교육 플랫폼은 무엇인가요?,회사 지정 온라인 교육 플랫폼인 Inflearn과 Udemy를 무제한으로 이용할 수 있습니다.
사내 동호회 활동 비용 지원은 얼마인가요?,"사내 동호회 활동 비용은 최대 월 100,000원까지 지원되며, 사전에 등록된 동호회에 한해 지원됩니다."
문화의 날은 언제이고 어떤 혜택이 있나요?,"매월 마지막 금요일 오후 3시 이후 자유 시간이 부여되며, 문화 활동 지원비로 월 최대 50,000원이 지원됩니다."
본인 결혼 시 경조사 지원금은 얼마인가요?,본인 결혼 시 경조사 지원금은 30만원입니다.
통신비 지원은 얼마나 되나요?,"매월 50,000원의 통신비가 지원됩니다."
직원 식사 지원 금액은 얼마인가요?,"사내 카페테리아가 제공되거나 식사비 월 최대 150,000원이 지원됩니다."
복리후생 관련 문의는 누구에게 하면 되나요?,"인사팀 김지현 팀장에게 문의하면 됩니다. 이메일: kimjh@company.com, 전화번호: 02-1234-5678"
복리후생 신청은 어떻게 하나요?,각 복리후생은 사내 HR 시스템을 통해 신청 가능합니다.
배우자 사망 시 경조 휴가와 지원금은 얼마인가요?,배우자 사망 시 경조 휴가 7일과 경조사 지원금 50만원이 지원됩니다.
자녀 출생 시 받을 수 있는 혜택은 무엇인가요?,자녀 출생 시 경조 휴가 3일과 경조사 지원금 10만원이 지원됩니다.
